"college","STABBR","cost_estimate","percent_award","TUITIONFEE_OUT","UGDS","ADM_RATE","low_act","mid_act","high_act","award_type","net_cost"
"Mercy College of Health Sciences","IA",27662.71,"91%-100%","16268","782","1",NA,21,NA,"Full Tuition",10223.414
"Morningside College","IA",44334,"61%-90%","28155","1298","0.5599",20,NA,26,"Full Tuition",14151.84
"Mount Mercy University","IA",44806,"91%-100%","28226","1535","0.6065",19,NA,23,"Full Tuition",14547.728
"Simpson College","IA",50254,"61%-90%","34175","1592","0.8946",21,NA,27,"Full Tuition",13618.4
"St. Ambrose University","IA",44838,"11%-40%",NA,NA,NA,20,23,25,"Full Tuition",NA
"University of Dubuque","IA",41010,"91%-100%","27895","1834","0.7742",17,NA,23,"Full Tuition",11106.56
"Upper Iowa University","IA",42670,"41%-60%","28073","4022","0.66",17,NA,22,"Full Tuition",12575.744
"Wartburg College","IA",51878,"91%-100%","37190","1497","0.7382",21,NA,27,"Set Rate",14878
"William Penn University","IA",36846,"91%-100%","23930","1459","0.575",17,19,21,"Full Tuition",11193.04
"Baker University","KS",43444,"41%-60%","27160","1523","0.8162",20,NA,25,"Full Tuition",14328.48
"Benedictine College","KS",41862.68,"91%-100%","26200","1868","0.9915",21,NA,28,"Full Tuition",13776.28
"Friends University","KS",44235,"91%-100%","25965","1266","0.5849",19,NA,24,"Full Tuition",16400.52
"Kansas Wesleyan University","KS",41130,"Below 10%","26600","665","0.6161",20,NA,24,"Full Tuition",12614.8
"Newman University","KS",40640,"61%-90%","26030","1126","0.5627",20,NA,28,"Full Tuition",12735.84
"Ottawa University","KS",43270,"91%-100%",NA,NA,NA,19,21,23,"Full Tuition",NA
"Southwestern College","KS",40492,"91%-100%","25946","1149","0.9116",19,NA,24,"Full Tuition",12677.888
"Bellarmine University","KY",58476,"91%-100%","37650","2584","0.8394",22,NA,27,"Full Tuition",18115.2
"Berea College","KY",35394,"Below 10%","24870","1593","0.3651",22,NA,26,"Full Tuition",8733.36
"Brescia University","KY",34550,"Below 10%","20440","1023","0.4794",19,NA,24,"Full Tuition",12638.32
"Centre College","KY",54280,"11%-40%","38200","1355","0.7117",26,NA,31,"Other Tuition",17280
"Georgetown College","KY",50086,"11%-40%","34280","975","0.6769",20,NA,25,"Full Tuition",13337.84
"Kentucky Christian University -  KY","KY",NA,"Below 10%",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"Kentucky State University","KY",19056,"91%-100%","18056","1286","0.3792",17,NA,22,"Full Tuition",-300.032000000003
"Kentucky Wesleyan College","KY",38690,"61%-90%","23120","691","0.6421",20,NA,25,"Other Tuition",1690
"Lindsey Wilson College","KY",39789,"91%-100%","23162","2099","NULL",19,21,24,"Full Tuition",14959.336
"Midway University","KY",38413,"91%-100%","22250","928","0.4559",18,20,22,"Full Tuition",14561
"Thomas More College","KY",40668,"61%-90%","29153","1308","0.8831",20,NA,24,"Full Tuition",9415.984
"Transylvania University","KY",50550,"41%-60%","34370","1052","0.9265",24,27,30,"Full Tuition",13705.36
"Union College","KY",42576,"91%-100%","24000","794","0.6918",18,NA,23,"Full Tuition",16848
"University of the Cumberlands, The","KY",38200,"41%-60%",NA,NA,NA,19,23,25,"Full Tuition",NA
"Centenary College","LA",52750,"91%-100%",NA,NA,NA,21,25,28,"Full Tuition",NA
"Louisiana Tech University","LA",20844,"91%-100%","25852","7629","0.6384",21,NA,27,"Other Tuition",-16156
"Loyola University New Orleans","LA",56986,"Below 10%","37830","2572","0.9031",22,NA,28,"Full Tuition",16432.24
"Tulane University","LA",70764,"Below 10%",NA,NA,NA,29,30,32,"Other Tuition",30700
"Maine College of Art","ME",49140,"",NA,NA,NA,NA,NA,NA,"",NA
"Saint Joseph's College of Maine","ME",48597.26,"41%-60%","32620","1634","0.7763",21,NA,26,"Full Tuition",13628.62
"University of New England","ME",54260,"Below 10%","34760","2271","0.8514",20,NA,29,"Full Tuition",16997.28
"Goucher College","MD",58310,"11%-40%","42180","1466","0.7707",23,25,28,"Set Rate",21310
"Hood College","MD",54840,"11%-40%","35150","1247","0.7861",10,12,19,"Full Tuition",17159.2
"Loyola University Maryland","MD",64685,"Below 10%","45200","4031","0.6093",25,27,29,"Other Tuition",27685
"Maryland Institute College of Art (MICA)","MD",NA,"11%-40%",NA,NA,NA,NA,NA,NA,"Set Rate",NA
"Maryland University of Integrative Health","MD",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Set Rate",NA
"McDaniel College","MD",55830,"11%-40%","39500","1613","0.7982",20,NA,27,"Full Tuition",13486
"Mount Saint Mary's University","MD",56080,"11%-40%",NA,NA,NA,18,21,24,"Other Tuition",NA
"Notre Dame of Maryland University","MD",51490,"11%-40%","33670","1001","0.5192",23,NA,28,"Full Tuition",15395.76
"St. Mary's College of Maryland","MD",29678,"11%-40%","28745","1684","0.7881",22,NA,28,"Full Tuition",-1136.64
"Stevenson University","MD",52234,"Below 10%","30998","3667","0.5974",19,NA,24,"Full Tuition",19004.144
"Washington College","MD",60646,"11%-40%","43850","1386","0.5407",25,27,30,"Full Tuition",13638.8
"Anna Maria College","MA",53520,"11%-40%","35074","1123","0.8006",NA,NA,NA,"Full Tuition",15920.672
"Assumption College","MA",54594,"41%-60%","36160","2184","0.7575",10,12,23,"Full Tuition",15830.48
"Bard College at Simon's Rock","MA",70734,"41%-60%","50209","325","0.8945",13,14,28,"Set Rate",33734
"Bay Path University","MA",46298.9,"11%-40%","31785","1849","0.7726",12,NA,16,"Full Tuition",12225.38
"Becker College","MA",55710,"11%-40%","34080","2036","0.6689",19,NA,25,"Full Tuition",19176.24
"Boston University","MA",70302,"Below 10%","48436","16456","0.3262",27,NA,31,"Set Rate",33302
"Clark University","MA",53455.06,"Below 10%","41940","2331","0.5507",26,28,30,"Set Rate",16455.06
"Curry College","MA",57306,"11%-40%","36765","2691","0.877",18,NA,22,"Full Tuition",17893.92
"Dean College","MA",54102.41,"61%-90%","35420","1308","0.6736",NA,NA,NA,"Set Rate",17102.41
"Elms College","MA",50792,"11%-40%",NA,NA,NA,13,16,19,"Full Tuition",NA
"Emerson College","MA",66539,"Below 10%","41052","3783","0.4903",25,NA,29,"Set Rate",29539
"Emmanuel College","MA",56737,"Below 10%","36504","1865","0.7841",23,26,27,"Set Rate",19737
"Endicott College","MA",50306,"Below 10%","30492","2970","0.7278",21,24,26,"Full Tuition",17618.576
"Fisher College","MA",51067,"61%-90%","28942","1608","0.7018",NA,NA,NA,"Full Tuition",20041.176
"Hampshire College","MA",66964,"Below 10%","49048","1396","0.7001",26,28,29,"Set Rate",29964
"Hellenic College Holy Cross","MA",41282,"Below 10%",NA,NA,NA,19,23,25,"Set Rate",NA
"Laboure College","MA",40451.35,"Below 10%","34410","802","0.5238",NA,NA,NA,"Full Tuition",3563.83
"Lasell College","MA",52900,"11%-40%","32000","1810","0.7815",18,NA,23,"Full Tuition",18596
"Lesley University","MA",46250,"Below 10%","25095","1849","0.671",21,NA,25,"Full Tuition",19348.16
"Merrimack College","MA",57865,"11%-40%","37670","3129","0.7897",NA,NA,NA,"Full Tuition",17482.76
"Mount Holyoke College","MA",63900,"11%-40%","43886","2099","0.5008",29,30,32,"Set Rate",26900
"Mount Ida College -MA","MA",NA,"",NA,NA,NA,NA,NA,NA,"Full Tuition",NA
"New England Law - Boston","MA",NA,"Below 10%","NULL","NULL","NULL",NA,NA,NA,"Set Rate",NA
"Newbury College","MA",52470,"11%-40%","31408","861","0.7914",10,12,18,"Full Tuition",18800.624
"Nichols College","MA",51400,"41%-60%","33300","1256","0.8268",17,20,23,"Full Tuition",15702.4
"NOT ACCEPTING 2017-18 applicationsSmith College","MA",NA,"Below 10%",NA,NA,NA,NA,NA,NA,"Other Tuition",NA
"Pine Manor College","MA",47390,"61%-90%","27050","448","0.7094",16,NA,17,"Other Tuition",10390
"Regis College","MA",57458,"11%-40%","37540","1235","0.8423",19,22,26,"Full Tuition",17215.12
